scraped_at,listing_id,date_posted,type,title,price_sek
2026-04-27T16:35:19.271335+00:00,191970,2022-04-26,Säljes,Startplats Stockholm Marathon 2026,795
2026-04-27T16:35:19.271335+00:00,191969,2022-04-26,Säljes,Stockholm Maraton startplats,750
2026-04-27T16:35:19.271335+00:00,191966,2022-04-26,Säljes,Startplats Stockholm Marathon,1000
2026-04-27T16:35:19.271335+00:00,191958,2022-04-26,Säljes,Stockholm Marathon startplats,1200
2026-04-27T16:35:19.271335+00:00,191955,2022-04-26,Säljes,Sthlm Martahon 30/5 inkl namnbyte,1050
2026-04-27T16:35:19.271335+00:00,191952,2022-04-26,Säljes,Stockholm maraton,1000
2026-04-27T16:35:19.271335+00:00,191943,2022-04-26,Säljes,Startplats Stockholm Marathon,1000
2026-04-27T16:35:19.271335+00:00,191931,2022-04-26,Säljes,Startplats Stockholm Marathon,900
2026-04-27T16:35:19.271335+00:00,191928,2022-04-26,Säljes,Stockholm marathon,1000
2026-04-27T16:35:19.271335+00:00,191888,2021-04-26,Säljes,Startplats Stockholm Marathon,1200
2026-04-27T16:35:19.271335+00:00,191883,2021-04-26,Säljes,Startplats Stockholm maraton,1000
2026-04-27T16:35:19.271335+00:00,191876,2021-04-26,Säljes,Startplats Stockholm marathon,800
2026-04-27T16:35:19.271335+00:00,191874,2021-04-26,Säljes,Startplats Sthlm Marathon,700
2026-04-27T16:35:19.271335+00:00,191873,2021-04-26,Säljes,3 Startplatser på Stockholm Maraton,1300
2026-04-27T16:35:19.271335+00:00,191872,2021-04-26,Säljes,Stockholm marathon 2026,1300
2026-04-27T16:35:19.271335+00:00,191869,2021-04-26,Säljes,Stockholm marathon 2026,900
2026-04-27T16:35:19.271335+00:00,191868,2021-04-26,Säljes,Stockholm marathon säljes,1000
2026-04-27T16:35:19.271335+00:00,191863,2021-04-26,Säljes,Startplats Stockholm Marathon,1000
2026-04-27T16:35:19.271335+00:00,191862,2021-04-26,Säljes,Startplats Stockholm Marathon,950
2026-04-27T16:35:19.271335+00:00,191861,2021-04-26,Säljes,Stockholm Marathon,1300
2026-04-27T16:35:19.271335+00:00,191852,2021-04-26,Säljes,Startplats Stockholm Maraton 2026,1100
2026-04-27T16:35:19.271335+00:00,191851,2021-04-26,Säljes,Startplats Stockholm Marathon,1295
2026-04-27T16:35:19.271335+00:00,191846,2021-04-26,Säljes,Startplats Stockholm Marathon,1100
2026-04-27T16:35:19.271335+00:00,191844,2021-04-26,Säljes,Stockholm Marathon 2026,1500
2026-04-27T16:35:19.271335+00:00,191841,2021-04-26,Säljes,Startplats Stockholm Marathon,800
2026-04-27T16:35:19.271335+00:00,191834,2021-04-26,Säljes,Startplats Stockholm Marathon 2026,1000
2026-04-27T16:35:19.271335+00:00,191833,2020-04-26,Säljes,Stockholm Marathon,1350
2026-04-27T16:35:19.271335+00:00,191830,2020-04-26,Säljes,StockholmMarathon 2026,1095
2026-04-27T16:35:19.271335+00:00,191827,2020-04-26,Säljes,Stockholm marathon 2026,1000
2026-04-27T16:35:19.271335+00:00,191786,2020-04-26,Säljes,Startplats Stockholm Marathon,1500
2026-04-27T16:35:19.271335+00:00,191785,2020-04-26,Säljes,Stockholm marathon 2026,1500
2026-04-27T16:35:19.271335+00:00,191776,2020-04-26,Säljes,Startplats Stockholm marathon exkl överl,900
2026-04-27T16:35:19.271335+00:00,191775,2020-04-26,Säljes,Startplats Stockholm Marathon,1095
2026-04-27T16:35:19.271335+00:00,191773,2020-04-26,Säljes,Startplats Stockholm Marathon,1295
2026-04-27T16:35:19.271335+00:00,191768,2020-04-26,Säljes,Stockholm Maraton,1200
2026-04-27T16:35:19.271335+00:00,191767,2020-04-26,Säljes,Startplats Stockholm Maraton,1500
2026-04-27T16:35:19.271335+00:00,191766,2019-04-26,Säljes,Startplats Stockholm Marathon,1500
2026-04-27T16:35:19.271335+00:00,191765,2019-04-26,Säljes,stockholm marathon,1000
2026-04-27T16:35:19.271335+00:00,191761,2019-04-26,Säljes,Startplats Stockholm Marathon,900
2026-04-27T16:35:19.271335+00:00,191753,2019-04-26,Säljes,Startplats Stockholm Marathon 2st,2800
2026-04-27T16:35:19.271335+00:00,191749,2019-04-26,Säljes,Startplats Stockholms marathon,1395
2026-04-27T16:35:19.271335+00:00,191747,2019-04-26,Säljes,Stockholm Marathon inkl. Namnändring,1300
2026-04-27T16:35:19.271335+00:00,191745,2019-04-26,Säljes,Startplats Stockholm Marathon 2026,1400
2026-04-27T16:35:19.271335+00:00,191741,2019-04-26,Säljes,Startplats stockholm maraton,1295
2026-04-27T16:35:19.271335+00:00,191738,2019-04-26,Säljes,Stockholm Marathon,1150
2026-04-27T16:35:19.271335+00:00,191732,2019-04-26,Säljes,Startplats Sthlm Marathon 2026 Säljes,1395
2026-04-27T16:35:19.271335+00:00,191730,2019-04-26,Säljes,Startplats halvmaraton Stockholm,650
2026-04-27T16:35:19.271335+00:00,191727,2019-04-26,Säljes,Stockholm Marathon 2026,1250
2026-04-27T16:35:19.271335+00:00,191726,2019-04-26,Säljes,Startplats Stockholm Marathon,1000
2026-04-27T16:35:19.271335+00:00,191724,2019-04-26,Säljes,Startplats Stockholm maraton,1000
2026-04-27T16:35:19.271335+00:00,191715,2019-04-26,Säljes,Startplats Stockholm Marathon premiärhal,1000
2026-04-27T16:35:19.271335+00:00,191713,2019-04-26,Säljes,Startplats Stockholm Marathon,1100
2026-04-27T16:35:19.271335+00:00,191701,2018-04-26,Säljes,Stockholmmarathon,1900
2026-04-27T16:35:19.271335+00:00,191697,2018-04-26,Säljes,Startplats Stockholm Maraton,1000
2026-04-27T16:35:19.271335+00:00,191688,2018-04-26,Säljes,Startplats Stockholm Marathon,1700
2026-04-27T16:35:19.271335+00:00,191687,2018-04-26,Säljes,Startplats Stockholm Marathon 2026,1100
2026-04-27T16:35:19.271335+00:00,191677,2018-04-26,Säljes,Startplats Stockholm Marathon,1095
2026-04-27T16:35:19.271335+00:00,191670,2018-04-26,Säljes,Startplats Stockholm Maraton,900
